character_ID,character_name,character_info
6386,Phantom Hunter,fiery manipulation
6387,Star Beast,dark skills
6388,Arctic Stalker,stealthy energy blasts
6389,Eternal Nomad,technological telepathy
6390,Venomous Reaper,earthen strength
6391,Solar Monarch,brave prediction
6392,Nebula Mage,dimension-crossing invisibility
6393,Mountain Sorcerer,omniscient intelligence
6394,Eternal Viper,sonic intelligence
6395,Iron Sorcerer,technological invisibility
6396,Sky Specter,psychic force fields
6397,Inferno Phantom,untouchable telepathy
6398,Blizzard Mage,flying force
6399,Captain Ranger,speedy telekinesis
6400,Star Knight,gravity-defying telekinesis
6401,Arctic Guardian,healing control
6402,Crimson Prophet,technological healing
6403,Arctic Monarch,smart speed
6404,Captain Stalker,untouchable intelligence
6405,Mountain Voyager,earthen skills
6406,Terra Sage,earthen manipulation
6407,Inferno Rogue,time-controlling powers
6408,Blizzard Widow,time-controlling resurrection
6409,Night Beast,dark destruction
6410,Nebula Widow,luminous mastery
6411,Shadow Sorcerer,smart magic
6412,Spectral Widow,brave skills
6413,Oceanic Explorer,strong force
6414,Oceanic Reaper,earthen creation
6415,Terra Nomad,cursed telepathy
6416,Celestial Beast,fiery prediction
6417,Captain Sorcerer,earthen speed
6418,Phantom Sorcerer,dimension-crossing skills
6419,Lunar Phantom,cursed healing
6420,Terra Phantom,dark telekinesis
6421,Nebula Ranger,mystical telekinesis
6422,Celestial Guardian,windy healing
6423,Arctic Marvelous,earthen control
6424,Shadow Beast,invisible mastery
6425,Forest Wizard,luminous creation
6426,Night Warrior,elemental transformation
6427,Star Enforcer,strong strength
6428,Phantom Prophet,smart protection
6429,Cosmic Wizard,electric magic
6430,Phantom Lord,omniscient control
6431,Forest Knight,luminous powers
6432,Oceanic Viper,omniscient resurrection
6433,Terra Prophet,dark control
6434,Blizzard Phantom,psychic telekinesis
6435,Mountain Prophet,lucky command
6436,Thunder Guardian,technological control
6437,Oceanic Sage,healing creation
6438,Forest Guardian,fiery skills
6439,Silver Stalker,brave invisibility
6440,Forest Rogue,icy energy blasts
6441,Eternal Monarch,mystical transformation
6442,Galactic Prophet,brave force fields
6443,Night Ranger,dimension-crossing abilities
6444,Venomous Explorer,brave telekinesis
6445,Oceanic Specter,elemental time travel
6446,Captain Hunter,teleporting control
6447,Quantum Wizard,fiery invisibility
6448,Mountain Titan,windy protection
6449,Venomous Beast,psychic protection
6450,Iron Rogue,gravity-defying illusion
6451,Nebula Lord,electric force fields
6452,Cosmic Conqueror,earthen mastery
6453,Inferno Specter,electric healing
6454,Captain Widow,flying weather control
6455,Oceanic Enforcer,dimension-crossing powers
6456,Galactic Rogue,cursed prediction
6457,Solar Specter,luminous intelligence
6458,Sky Warrior,gravity-defying strength
6459,Blizzard Stalker,technological mind control
6460,Night Wizard,cosmic mastery
6461,Quantum Voyager,healing abilities
6462,Dark Titan,elemental mind control
6463,Lunar Sage,cosmic command
6464,Eternal Enforcer,sonic weather control
6465,Meteor Titan,fiery illusion
6466,Galactic Widow,time-controlling strength
6467,Forest Prophet,healing destruction
6468,Crimson Guardian,gravity-defying weather control
6469,Arctic Specter,lucky control
6470,Dark Specter,icy healing
6471,Dark Phantom,fiery technology
6472,Star Mage,teleporting mastery
6473,Celestial Viper,omniscient mastery
6474,Arctic Beast,technological speed
6475,Venomous Voyager,invisible prediction
6476,Silver Titan,stealthy control
6477,Captain Warrior,speedy creation
6478,Celestial Sentinel,gravity-defying force fields
6479,Eternal Lord,smart strength
6480,Captain Sentinel,cursed control
6481,Eternal Rogue,teleporting invisibility
6482,Lunar Titan,cursed resurrection
6483,Meteor Specter,elemental control
6484,Inferno Ranger,time-controlling control
6485,Blizzard Falcon,elemental healing
6486,Thunder Viper,magical force
6487,Mighty Widow,mystical resurrection
6488,Dark Prophet,smart creation
6489,Cosmic Viper,untouchable illusion
6490,Thunder Lord,technological energy blasts
6491,Eternal Conqueror,sonic powers
6492,Inferno Falcon,cosmic weather control
6493,Silver Falcon,untouchable stealth
6494,Venomous Prophet,sonic illusion
6495,Nebula Stalker,untouchable technology
6496,Forest Sage,speedy speed
6497,Nebula Beast,dimension-crossing prediction
6498,Terra Reaper,healing illusion
6499,Mighty Wizard,icy creation
6500,Captain Prophet,sonic time travel
6501,Mighty Voyager,psychic telepathy
6502,Shadow Knight,omniscient force fields
6503,Quantum Knight,strong force fields
6504,Star Hunter,earthen command
6505,Eternal Stalker,earthen powers
6506,Nebula Rogue,magical telepathy
6507,Silver Nomad,cosmic time travel
6508,Galactic Explorer,untouchable creation
6509,Eternal Sorcerer,mystical abilities
6510,Mighty Reaper,elemental force fields
6511,Dark Wizard,cursed force
6512,Celestial Sage,cursed magic
6513,Nebula Reaper,elemental speed
6514,Sky Voyager,psychic resurrection
6515,Inferno Beast,brave abilities
6516,Captain Rogue,fiery strength
6517,Solar Reaper,stealthy magic
6518,Inferno Guardian,teleporting protection
6519,Sky Sentinel,brave powers
6520,Venomous Stalker,gravity-defying skills
6521,Oceanic Falcon,invisible powers
6522,Spectral Reaper,invisible force fields
6523,Meteor Falcon,brave force
6524,Galactic Sorcerer,cursed illusion
6525,Meteor Prophet,technological time travel
6526,Arctic Reaper,omniscient telekinesis
6527,Shadow Sage,speedy destruction
6528,Terra Hunter,speedy mastery
6529,Sky Widow,strong intelligence
6530,Meteor Nomad,flying technology
6531,Celestial Knight,smart time travel
6532,Blizzard Explorer,icy invisibility
6533,Inferno Widow,electric manipulation
6534,Cosmic Voyager,electric technology
6535,Blizzard Marvelous,technological manipulation
6536,Celestial Titan,cursed mind control
6537,Thunder Conqueror,speedy illusion
6538,Galactic Sentinel,invisible protection
6539,Mighty Falcon,brave technology
6540,Thunder Phantom,magical control
6541,Crimson Widow,dimension-crossing command
6542,Shadow Rogue,flying abilities
6543,Venomous Enforcer,sonic control
6544,Silver Mistress,cosmic telepathy
6545,Phantom Titan,luminous prediction
6546,Solar Mage,luminous magic
6547,Arctic Hunter,psychic speed
6548,Mountain Widow,invisible skills
6549,Inferno Explorer,gravity-defying stealth
6550,Eternal Ranger,flying powers
6551,Celestial Monarch,brave telepathy
6552,Forest Beast,cursed manipulation
6553,Eternal Titan,smart abilities
6554,Mighty Marvelous,invisible weather control
6555,Quantum Viper,untouchable command
6556,Blizzard Sage,strong control
6557,Blizzard Titan,cursed energy blasts
6558,Quantum Monarch,flying skills
6559,Crimson Beast,gravity-defying technology
6560,Arctic Mistress,brave stealth
6561,Mountain Monarch,invisible healing
6562,Spectral Sage,smart telepathy
6563,Shadow Marvelous,dark energy blasts
6564,Venomous Lord,cosmic protection
6565,Eternal Widow,smart manipulation
6566,Venomous Sorcerer,strong creation
6567,Arctic Sorcerer,mystical force fields
6568,Celestial Hunter,strong time travel
6569,Forest Conqueror,smart healing
6570,Shadow Reaper,invisible invisibility
6571,Nebula Guardian,invisible command
6572,Lunar Wizard,magical destruction
6573,Lunar Reaper,lucky resurrection
6574,Night Marvelous,lucky intelligence
6575,Mountain Hunter,technological resurrection
6576,Captain Titan,time-controlling illusion
6577,Iron Nomad,psychic time travel
6578,Quantum Titan,invisible manipulation
6579,Nebula Prophet,teleporting force
6580,Sky Marvelous,elemental skills
6581,Inferno Sentinel,stealthy telekinesis
6582,Blizzard Specter,cosmic speed
6583,Iron Mage,psychic creation
6584,Thunder Hunter,icy control
6585,Spectral Beast,elemental resurrection
6586,Blizzard Monarch,lucky telekinesis
6587,Lunar Conqueror,strong healing
6588,Lunar Beast,technological telekinesis
6589,Terra Marvelous,elemental intelligence
6590,Galactic Mistress,teleporting skills
6591,Star Sage,flying healing
6592,Meteor Guardian,icy telekinesis
6593,Galactic Monarch,technological command
6594,Crimson Sentinel,untouchable manipulation
6595,Sky Conqueror,healing speed
6596,Thunder Warrior,dark powers
6597,Mountain Marvelous,elemental protection
6598,Oceanic Nomad,elemental stealth
6599,Silver Ranger,speedy technology
6600,Sky Phantom,cursed destruction
6601,Phantom Phantom,cosmic resurrection
6602,Sky Rogue,healing powers
6603,Oceanic Sentinel,icy command
6604,Captain Enforcer,dark illusion
6605,Iron Mistress,magical creation
6606,Nebula Nomad,stealthy force fields
6607,Thunder Sage,mystical prediction
6608,Iron Guardian,flying magic
6609,Crimson Viper,mystical magic
6610,Mighty Nomad,elemental powers
6611,Blizzard Warrior,healing resurrection
6612,Phantom Mage,gravity-defying mastery
6613,Eternal Mistress,omniscient skills
6614,Cosmic Specter,luminous protection
6615,Lunar Voyager,healing telepathy
6616,Arctic Sage,smart resurrection
6617,Iron Explorer,lucky force
6618,Crimson Conqueror,smart powers
6619,Mighty Stalker,time-controlling force fields
6620,Nebula Mistress,fiery control
6621,Mike Tyson,Fighter
